Instcode;Unieknr;Volgnrar;Aadnstvb;Ingdatdv;Eindatdv;HOOPgeb;Functcat;WelGeenHGL;Salschal;Taakomv;Aanst_22;Peildat
AAA;400837;1;V;19000101;99990101;DIV;80410;0;11;10000;V;20181231
AAA;40088;1;V;19000101;99990101;ECON;10510;1;18;10000;V;20181231
AAA;4009;1;V;20040101;99990101;NATU;10710;0;12;8000;V;20191231
AAA;4009;1;T;19000101;99990101;NATU;11010;0;10;10000;K;20201231
AAA;400911;1;T;20140101;99990101;G&M;11010;0;10;10000;K;20171231
AAA;400911;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20181231
AAA;400963;1;T;19000101;99990101;G&M;11010;0;10;10000;L;20181231
AAA;401;1;V;20040101;99990101;G&M;21030;0;8;5000;V;20191231
AAA;401;1;V;19000101;99990101;ECON;10520;0;17;10000;V;20201231
AAA;4010;1;T;20040101;99990101;G&M;21050;0;6;10000;K;20191231
AAA;4010;1;V;19000101;99990101;G&M;10610;0;14;5000;V;20201231
AAA;4011;1;V;20040101;99990101;DIV;51710;0;10;5200;V;20191231
AAA;4011;1;V;19000101;99990101;G&M;10620;0;13;2000;V;20201231
AAA;4012;1;T;20040101;99990101;G&M;10840;0;11;10000;K;20191231
AAA;4012;1;T;19000101;99990101;ECON;10820;0;12;6000;K;20201231
AAA;40125;1;V;20090101;99990101;G&M;30810;0;8;9000;V;20171231
AAA;40125;1;V;19000101;99990101;G&M;30810;0;8;7000;V;20181231
AAA;4013;1;V;20040101;99990101;G&M;100230;0;7;7500;V;20191231
AAA;4013;1;V;19000101;99990101;DIV;70430;0;12;10000;V;20201231
AAA;401393;1;V;20040101;99990101;DIV;70130;0;11;10000;V;20171231
AAA;401393;1;V;19000101;99990101;DIV;70130;0;11;10000;V;20181231
AAA;4014;1;T;20040101;99990101;RECH;10720;0;11;10000;L;20191231
AAA;4014;1;T;19000101;99990101;RECH;10930;0;11;10000;L;20201231
AAA;4015;1;V;20040101;99990101;ECON;20630;0;10;10000;V;20191231
AAA;4015;1;T;19000101;99990101;ECON;10940;0;10;5000;K;20201231
AAA;401503;1;V;20090101;99990101;DIV;20240;0;8;6000;V;20171231
AAA;401503;1;V;19000101;99990101;DIV;20240;0;8;6000;V;20181231
AAA;401599;1;T;20170101;99990101;NATU;11010;0;10;10000;K;20171231
AAA;401599;1;T;19000101;99990101;NATU;11010;0;10;10000;L;20181231
AAA;4016;1;T;20040101;99990101;RECH;11010;0;10;10000;K;20191231
AAA;4016;1;V;19000101;99990101;NATU;10910;0;13;10000;V;20201231
AAA;4017;1;V;20040101;99990101;DIV;60210;0;12;9000;V;20191231
AAA;4017;1;T;19000101;99990101;NATU;11010;0;10;10000;K;20201231
